"Species Name 
 Wilson & Reeder 2005"	Diet
Ateles_belzebuth	Herbivore
Ateles_chamek	Herbivore
Ateles_fusciceps	?
Ateles_geoffroyi	Herbivore
Ateles_hybridus	?
Ateles_marginatus	?
Ateles_paniscus	Herbivore
Atelocynus_microtis	?
Atherurus_africanus	Herbivore
Atherurus_macrourus	?
Atilax_paludinosus	Omnivore
Atlantoxerus_getulus	Herbivore
Auliscomys_boliviensis	?
Auliscomys_pictus	?
Auliscomys_sublimis	?
Avahi_laniger	Herbivore
Avahi_occidentalis	?
Axis_axis	Herbivore
Axis_calamianensis	Herbivore
Axis_kuhlii	Herbivore
Axis_porcinus	Herbivore
Babyrousa_babyrussa	?
Babyrousa_bolabatuensis	?
Babyrousa_celebensis	?
Babyrousa_togeanensis	?
Baiomys_musculus	Herbivore
Baiomys_taylori	Omnivore
Balaena_mysticetus	Carnivore
Balaenoptera_acutorostrata	Carnivore
Balaenoptera_bonaerensis	?
Balaenoptera_borealis	Carnivore
Balaenoptera_edeni	Carnivore
Balaenoptera_musculus	Carnivore
Balaenoptera_physalus	Carnivore
Balantiopteryx_infusca	?
Balantiopteryx_io	?
Balantiopteryx_plicata	Carnivore
Balionycteris_maculata	?
Bandicota_bengalensis	Herbivore
Bandicota_indica	?
Bandicota_savilei	?
Barbastella_barbastellus	Carnivore
Barbastella_leucomelas	?
Bassaricyon_alleni	?
Bassaricyon_beddardi	?
Bassaricyon_gabbii	?
Bassaricyon_lasius	?
Bassaricyon_pauli	?
Bassariscus_astutus	Carnivore
Bassariscus_sumichrasti	?
Bathyergus_janetta	Herbivore
Bathyergus_suillus	Herbivore
Batomys_dentatus	?
Batomys_granti	?
Batomys_salomonseni	?
Bauerus_dubiaquercus	Carnivore
Bdeogale_crassicauda	?
Bdeogale_jacksoni	?
Bdeogale_nigripes	Omnivore
Beamys_hindei	Herbivore
Beamys_major	?
Beatragus_hunteri	Herbivore
Belomys_pearsonii	?
Berardius_arnuxii	Carnivore
Berardius_bairdii	Carnivore
Berylmys_berdmorei	?
Berylmys_bowersi	?
Berylmys_mackenziei	?
Berylmys_manipulus	?
Bettongia_gaimardi	Omnivore
Bettongia_lesueur	Herbivore
Bettongia_penicillata	Herbivore
Bettongia_tropica	?
Bibimys_chacoensis	?
Bibimys_labiosus	?
Bibimys_torresi	?
Bison_bison	Herbivore
Bison_bonasus	Herbivore
Biswamoyopterus_biswasi	?
Blanfordimys_afghanus	?
Blanfordimys_bucharensis	?
Blarina_brevicauda	?
Blarina_carolinensis	Omnivore
Blarina_hylophaga	Carnivore
Blarina_peninsulae	?
Blarinella_griselda	?
Blarinella_quadraticauda	?
Blarinella_wardi	?
Blarinomys_breviceps	?
Blastocerus_dichotomus	Herbivore
Bos_frontalis	Herbivore
Bos_grunniens	Herbivore
Bos_javanicus	Herbivore
Bos_sauveli	Herbivore
Bos_taurus	Herbivore
Boselaphus_tragocamelus	Herbivore
Brachiones_przewalskii	?
Brachylagus_idahoensis	Herbivore
Brachyphylla_cavernarum	Omnivore
Brachyphylla_nana	Omnivore
Brachytarsomys_albicauda	?
Brachytarsomys_villosa	?
Brachyteles_arachnoides	Herbivore
Brachyteles_hypoxanthus	?
Brachyuromys_betsileoensis	?
Brachyuromys_ramirohitra	?
Bradypus_torquatus	Herbivore
Bradypus_tridactylus	?
Bradypus_variegatus	?
Brucepattersonius_iheringi	?
Bubalus_bubalis	Herbivore
Bubalus_depressicornis	?
Bubalus_mindorensis	?
Bubalus_quarlesi	?
Budorcas_taxicolor	Herbivore
Bullimus_bagobus	?
Bullimus_luzonicus	?
Bunolagus_monticularis	Herbivore
Bunomys_andrewsi	?
Bunomys_chrysocomus	?
Bunomys_coelestis	?
Bunomys_fratrorum	?
Bunomys_penitus	?
Bunomys_prolatus	?
Bunopithecus_hoolock	Herbivore
Burramys_parvus	Omnivore
Cabassous_centralis	?
Cabassous_chacoensis	?
Cabassous_tatouay	?
Cabassous_unicinctus	?
Cacajao_calvus	Omnivore
Cacajao_melanocephalus	Herbivore
Caenolestes_caniventer	?
Caenolestes_convelatus	?
Caenolestes_fuliginosus	?
Calcochloris_leucorhinus	?
Calcochloris_obtusirostris	?
Calcochloris_tytonis	?
Callicebus_baptista	?
Callicebus_barbarabrownae	?
Callicebus_brunneus	?
Callicebus_caligatus	?
Callicebus_cinerascens	?
Callicebus_cupreus	Omnivore
Callicebus_discolor	?
Callicebus_donacophilus	?
Callicebus_dubius	?
Callicebus_hoffmannsi	?
Callicebus_lucifer	?
Callicebus_lugens	?
Callicebus_medemi	?
Callicebus_melanochir	?
Callicebus_modestus	?
Callicebus_moloch	Herbivore
Callicebus_nigrifrons	?
Callicebus_oenanthe	?
Callicebus_olallae	?
Callicebus_ornatus	?
Callicebus_pallescens	?
Callicebus_personatus	Herbivore
Callicebus_purinus	?
Callicebus_regulus	?
Callicebus_torquatus	Omnivore
Callimico_goeldii	Omnivore
Callistomys_pictus	?
Callithrix_argentata	?
Callithrix_aurita	?
Callithrix_chrysoleuca	?
Callithrix_emiliae	?
Callithrix_flaviceps	?
Callithrix_geoffroyi	?
Callithrix_humeralifera	?
Callithrix_intermedia	?
Callithrix_jacchus	Omnivore
Callithrix_kuhlii	Omnivore
Callithrix_leucippe	?
Callithrix_melanura	?
Callithrix_penicillata	?
Callithrix_pygmaea	Omnivore
Callorhinus_ursinus	Carnivore
Callosciurus_adamsi	?
Callosciurus_albescens	?
Callosciurus_baluensis	?
Callosciurus_caniceps	?
Callosciurus_finlaysonii	?
Callosciurus_inornatus	?
Callosciurus_melanogaster	?
Callosciurus_nigrovittatus	?
Callosciurus_notatus	Omnivore
Callosciurus_orestes	Omnivore
Callosciurus_phayrei	?
Callosciurus_prevostii	Omnivore
Callosciurus_pygerythrus	?
Callosciurus_quinquestriatus	?
Calomys_boliviae	?
Calomys_callidus	?
Calomys_callosus	?
Calomys_expulsus	?
Calomys_hummelincki	?
Calomys_laucha	?
Calomys_lepidus	?
Calomys_musculinus	?
Calomys_sorellus	?
Calomys_tener	?
Calomys_venustus	?
Calomyscus_bailwardi	?
Calomyscus_baluchi	?
Calomyscus_elburzensis	?
Calomyscus_grandis	?
Calomyscus_hotsoni	?
Calomyscus_mystax	?
Calomyscus_tsolovi	?
Calomyscus_urartensis	?
Caluromys_derbianus	Omnivore
Caluromys_lanatus	Omnivore
Caluromys_philander	?
Caluromysiops_irrupta	Herbivore
Calyptophractus_retusus	?
Camelus_bactrianus	Herbivore
Camelus_dromedarius	Herbivore
Canis_adustus	?
Canis_aureus	?
Canis_latrans	Omnivore
Canis_lupus	Carnivore
Canis_mesomelas	Carnivore
Canis_simensis	Carnivore
Cannomys_badius	?
Cansumys_canus	?
Caperea_marginata	Carnivore
Capra_caucasica	?
Capra_falconeri	?
Capra_hircus	Herbivore
Capra_ibex	Herbivore
Capra_nubiana	?
Capra_pyrenaica	?
Capra_sibirica	?
Capra_walie	?
Capreolus_capreolus	Herbivore
Capreolus_pygargus	?
Capricornis_crispus	?
Capricornis_milneedwardsii	?
Capricornis_rubidus	?
Capricornis_sumatraensis	Herbivore
Capricornis_swinhoei	?
Capricornis_thar	?
Caprolagus_hispidus	?
Capromys_gundlachianus	?
Capromys_pilorides	?
Caracal_caracal	?
Cardiocranius_paradoxus	?
Cardioderma_cor	Carnivore
Carollia_brevicauda	Herbivore
Carollia_castanea	Herbivore
Carollia_perspicillata	Omnivore
Carollia_subrufa	?
Carpitalpa_arendsi	?
Carpomys_melanurus	?
Carpomys_phaeurus	?
Carterodon_sulcidens	?
Caryomys_eva	?
Caryomys_inez	?
Casinycteris_argynnis	?
Castor_canadensis	Herbivore
Castor_fiber	?
Catagonus_wagneri	Herbivore
Catopuma_badia	?
Catopuma_temminckii	Carnivore
Cavia_aperea	Herbivore
Cavia_fulgida	?
Cavia_magna	?
Cavia_porcellus	?
Cavia_tschudii	?
Cebus_albifrons	Omnivore
Cebus_apella	Omnivore
Cebus_capucinus	Omnivore
Cebus_libidinosus	?
Cebus_nigritus	?
Cebus_olivaceus	Omnivore
Cebus_xanthosternos	?
Centronycteris_centralis	?
Centronycteris_maximiliani	Carnivore
Centurio_senex	Herbivore
Cephalophus_adersi	Herbivore
Cephalophus_brookei	?
Cephalophus_callipygus	Herbivore
Cephalophus_dorsalis	Omnivore
Cephalophus_jentinki	Herbivore
Cephalophus_leucogaster	Herbivore
Cephalophus_natalensis	Herbivore
Cephalophus_niger	Herbivore
Cephalophus_nigrifrons	Herbivore
Cephalophus_ogilbyi	Herbivore
Cephalophus_rufilatus	Herbivore
Cephalophus_silvicultor	Herbivore
Cephalophus_spadix	Herbivore
Cephalophus_weynsi	?
Cephalophus_zebra	Herbivore
Cephalorhynchus_commersonii	Carnivore
Cephalorhynchus_eutropia	?
Cephalorhynchus_heavisidii	Carnivore
Cephalorhynchus_hectori	Carnivore
Ceratotherium_simum	Herbivore
Cercartetus_caudatus	Omnivore
Cercartetus_concinnus	?
Cercartetus_lepidus	Omnivore
Cercartetus_nanus	Omnivore
Cercocebus_agilis	Omnivore
Cercocebus_atys	?
Cercocebus_chrysogaster	?
Cercocebus_galeritus	Omnivore
Cercocebus_torquatus	Omnivore
Cercopithecus_albogularis	?
Cercopithecus_ascanius	Omnivore
Cercopithecus_campbelli	Omnivore
Cercopithecus_cephus	Omnivore
Cercopithecus_denti	?
Cercopithecus_diana	Herbivore
Cercopithecus_doggetti	?
Cercopithecus_dryas	?
Cercopithecus_erythrogaster	?
Cercopithecus_erythrotis	Herbivore
Cercopithecus_hamlyni	?
Cercopithecus_kandti	?
Cercopithecus_lhoesti	Herbivore
Cercopithecus_lowei	?
Cercopithecus_mitis	Omnivore
Cercopithecus_mona	Omnivore
Cercopithecus_neglectus	Omnivore
Cercopithecus_nictitans	Omnivore
Cercopithecus_petaurista	Herbivore
Cercopithecus_pogonias	Omnivore
Cercopithecus_preussi	Herbivore
Cercopithecus_roloway	?
Cercopithecus_sclateri	?
Cercopithecus_solatus	?
Cercopithecus_wolfi	Herbivore
Cerdocyon_thous	Omnivore
Cervus_elaphus	Herbivore
Cervus_nippon	Herbivore
Chaerephon_aloysiisabaudiae	?
Chaerephon_ansorgei	?
Chaerephon_bemmeleni	?
Chaerephon_bivittatus	?
Chaerephon_bregullae	?
Chaerephon_chapini	Carnivore
Chaerephon_gallagheri	?
Chaerephon_jobensis	Carnivore
Chaerephon_johorensis	?
Chaerephon_leucogaster	?
Chaerephon_major	?
Chaerephon_nigeriae	Carnivore
Chaerephon_plicatus	?
Chaerephon_pumilus	Carnivore
Chaerephon_russatus	?
Chaerephon_shortridgei	?
Chaerephon_solomonis	?
Chaetocauda_sichuanensis	?
Chaetodipus_arenarius	?
Chaetodipus_artus	?
Chaetodipus_baileyi	Omnivore
Chaetodipus_californicus	Herbivore
Chaetodipus_dalquesti	?
Chaetodipus_eremicus	?
Chaetodipus_fallax	Herbivore
Chaetodipus_formosus	?
Chaetodipus_goldmani	?
Chaetodipus_hispidus	Omnivore
Chaetodipus_intermedius	?
Chaetodipus_lineatus	?
Chaetodipus_nelsoni	Omnivore
Chaetodipus_penicillatus	Omnivore
Chaetodipus_pernix	Herbivore
Chaetodipus_rudinoris	?
Chaetodipus_spinatus	?
Chaetomys_subspinosus	?
Chaetophractus_nationi	?
Chaetophractus_vellerosus	Omnivore
Chaetophractus_villosus	Omnivore
Chalinolobus_dwyeri	?
Chalinolobus_gouldii	?
Chalinolobus_morio	?
Chalinolobus_neocaledonicus	?
Chalinolobus_nigrogriseus	Carnivore
Chalinolobus_picatus	?
Chalinolobus_tuberculatus	?
Cheirogaleus_adipicaudatus	?
Cheirogaleus_crossleyi	?
Cheirogaleus_major	Omnivore
Cheirogaleus_medius	Omnivore
Cheirogaleus_sibreei	?
Cheiromeles_parvidens	?
Cheiromeles_torquatus	Carnivore
Chelemys_delfini	?
Chelemys_macronyx	?
Chelemys_megalonyx	?
Chibchanomys_trichotis	Carnivore
Chilomys_instans	?
Chilonatalus_micropus	?
Chilonatalus_tumidifrons	?
Chimarrogale_hantu	?
Chimarrogale_himalayica	?
Chimarrogale_phaeura	?
Chimarrogale_platycephalus	?
Chimarrogale_styani	?
Chimarrogale_sumatrana	?
Chinchilla_chinchilla	?
Chinchilla_lanigera	Herbivore
Chinchillula_sahamae	?
Chionomys_gud	?
Chionomys_nivalis	?
Chionomys_roberti	?
Chiroderma_doriae	Herbivore
Chiroderma_improvisum	?
Chiroderma_salvini	?
Chiroderma_trinitatum	?
Chiroderma_villosum	Herbivore
Chiromyscus_chiropus	?
Chironax_melanocephalus	Herbivore
Chironectes_minimus	Carnivore
Chiropodomys_calamianensis	?
Chiropodomys_gliroides	?
Chiropodomys_karlkoopmani	?
Chiropodomys_major	?
Chiropodomys_muroides	?
Chiropodomys_pusillus	?
Chiropotes_albinasus	Herbivore
Chiropotes_chiropotes	?
Chiropotes_israelita	?
Chiropotes_satanas	Herbivore
Chiropotes_utahickae	?
Chiruromys_forbesi	?
Chiruromys_lamia	?
Chiruromys_vates	?
Chlamyphorus_truncatus	?
Chlorocebus_aethiops	Omnivore
Chlorocebus_cynosuros	?
Chlorocebus_djamdjamensis	?
Chlorocebus_pygerythrus	?
Chlorocebus_sabaeus	?
Chlorocebus_tantalus	?
Chlorotalpa_duthieae	?
Chlorotalpa_sclateri	?
Chodsigoa_hypsibia	?
Chodsigoa_lamula	?
Chodsigoa_parca	?
Chodsigoa_parva	?
Chodsigoa_salenskii	?
Chodsigoa_smithii	?
Chodsigoa_sodalis	?
Choeroniscus_godmani	?
Choeroniscus_minor	?
Choeroniscus_periosus	?
Choeronycteris_mexicana	Herbivore
Choloepus_didactylus	?
Choloepus_hoffmanni	Herbivore
Chrotogale_owstoni	?
Chrotomys_gonzalesi	Carnivore
Chrotomys_mindorensis	?
Chrotomys_silaceus	?
Chrotomys_whiteheadi	?
Chrotopterus_auritus	?
Chrysochloris_asiatica	?
Chrysochloris_stuhlmanni	Carnivore
Chrysochloris_visagiei	?
Chrysocyon_brachyurus	Omnivore
Chrysospalax_trevelyani	?
Chrysospalax_villosus	?
Cistugo_lesueuri	?
Cistugo_seabrae	?
Civettictis_civetta	Omnivore
Cloeotis_percivali	Carnivore
Clyomys_bishopi	?
Clyomys_laticeps	?
Coccymys_albidens	?
Coccymys_ruemmleri	?
Coelops_frithii	?
Coelops_robinsoni	?
Coendou_bicolor	?
Coendou_nycthemera	?
Coendou_prehensilis	Herbivore
Coendou_rothschildi	Herbivore
Coleura_afra	?
Coleura_seychellensis	Carnivore
Colobus_angolensis	Herbivore
Colobus_guereza	Herbivore
Colobus_polykomos	Herbivore
Colobus_satanas	Herbivore
Colobus_vellerosus	?
Colomys_goslingi	Carnivore
Condylura_cristata	Carnivore
Conepatus_chinga	Omnivore
Conepatus_humboldtii	?
Conepatus_leuconotus	?
Conepatus_semistriatus	?
Congosorex_polli	?
Conilurus_penicillatus	?
Connochaetes_gnou	Herbivore
Connochaetes_taurinus	Herbivore
Cormura_brevirostris	Carnivore
Corynorhinus_mexicanus	?
Corynorhinus_rafinesquii	Carnivore
Corynorhinus_townsendii	Carnivore
Craseonycteris_thonglongyai	Carnivore
Crateromys_australis	?
Crateromys_paulus	?
Crateromys_schadenbergi	?
Cratogeomys_castanops	Herbivore
Cratogeomys_fumosus	?
Cratogeomys_goldmani	?
Cratogeomys_gymnurus	?
Cratogeomys_merriami	?
Cratogeomys_neglectus	Herbivore
Cratogeomys_tylorhinus	Herbivore
Cratogeomys_zinseri	?
Cremnomys_cutchicus	?
Cremnomys_elvira	?
Cricetomys_ansorgei	?
Cricetomys_emini	Herbivore
Cricetomys_gambianus	?
Cricetomys_kivuensis	?
Cricetulus_alticola	?
Cricetulus_barabensis	Omnivore
Cricetulus_kamensis	?
Cricetulus_longicaudatus	?
Cricetulus_migratorius	Omnivore
Cricetulus_sokolovi	?
Cricetus_cricetus	Omnivore
Crocidura_aleksandrisi	?
Crocidura_allex	?
Crocidura_andamanensis	?
Crocidura_ansellorum	?
Crocidura_arabica	?
Crocidura_arispa	?
Crocidura_armenica	?
Crocidura_attenuata	?
Crocidura_attila	?
Crocidura_baileyi	?
Crocidura_baluensis	?
Crocidura_batesi	?
Crocidura_beatus	?
Crocidura_beccarii	?
Crocidura_bottegi	?
Crocidura_bottegoides	?
Crocidura_brunnea	?
Crocidura_buettikoferi	?
Crocidura_caliginea	?
Crocidura_canariensis	?
Crocidura_caspica	?
Crocidura_cinderella	?
Crocidura_congobelgica	?
Crocidura_crenata	?
Crocidura_crossei	?
Crocidura_cyanea	Carnivore
Crocidura_denti	?
Crocidura_desperata	?
Crocidura_dhofarensis	?
Crocidura_dolichura	?
Crocidura_douceti	?
Crocidura_dsinezumi	Carnivore
Crocidura_eisentrauti	?
Crocidura_elgonius	?
Crocidura_elongata	?
Crocidura_erica	?
Crocidura_fischeri	?
Crocidura_flavescens	Carnivore
Crocidura_floweri	?
Crocidura_foetida	?
Crocidura_foxi	?
Crocidura_fuliginosa	?
Crocidura_fulvastra	?
Crocidura_fumosa	Carnivore
Crocidura_fuscomurina	?
Crocidura_glassi	?
Crocidura_goliath	?
Crocidura_gracilipes	?
Crocidura_grandiceps	?
Crocidura_grandis	?
Crocidura_grassei	?
Crocidura_grayi	Carnivore
Crocidura_greenwoodi	?
Crocidura_harenna	?
Crocidura_hildegardeae	?
Crocidura_hirta	?
Crocidura_hispida	?
Crocidura_horsfieldii	?
Crocidura_ichnusae	?
Crocidura_indochinensis	?
Crocidura_jacksoni	?
Crocidura_jenkinsi	?
Crocidura_jouvenetae	?
Crocidura_kivuana	?
Crocidura_lamottei	?
Crocidura_lanosa	?
Crocidura_lasiura	?
Crocidura_latona	?
Crocidura_lea	?
Crocidura_lepidura	?
Crocidura_leucodon	?
Crocidura_levicula	?
Crocidura_littoralis	?
Crocidura_longipes	?
Crocidura_lucina	?
Crocidura_ludia	?
Crocidura_luna	?
Crocidura_lusitania	?
Crocidura_macarthuri	?
Crocidura_macmillani	?
Crocidura_macowi	?
Crocidura_malayana	?
Crocidura_manengubae	?
Crocidura_maquassiensis	?
Crocidura_mariquensis	Carnivore
Crocidura_maurisca	?
Crocidura_maxi	?
Crocidura_mindorus	?
Crocidura_miya	?
Crocidura_monax	?
Crocidura_monticola	?
Crocidura_montis	Omnivore
Crocidura_muricauda	?
Crocidura_mutesae	?
Crocidura_nana	?
Crocidura_nanilla	?
Crocidura_negligens	?
Crocidura_negrina	?
Crocidura_nicobarica	?
Crocidura_nigeriae	?
Crocidura_nigricans	?
Crocidura_nigripes	?
Crocidura_nigrofusca	?
Crocidura_nimbae	?
Crocidura_niobe	?
Crocidura_obscurior	?
Crocidura_olivieri	?
Crocidura_orientalis	?
Crocidura_orii	?
Crocidura_palawanensis	?
Crocidura_paradoxura	?
Crocidura_parvipes	?
Crocidura_pasha	?
Crocidura_pergrisea	?
Crocidura_phaeura	?
Crocidura_picea	?
Crocidura_pitmani	?
Crocidura_planiceps	?
Crocidura_poensis	?
Crocidura_polia	?
Crocidura_pullata	?
Crocidura_raineyi	?
Crocidura_rapax	?
Crocidura_religiosa	?
Crocidura_rhoditis	?
Crocidura_roosevelti	?
Crocidura_russula	?
Crocidura_selina	?
Crocidura_serezkyensis	?
Crocidura_shantungensis	?
Crocidura_sibirica	?
Crocidura_sicula	?
Crocidura_silacea	?
Crocidura_smithii	?
Crocidura_somalica	?
Crocidura_stenocephala	?
Crocidura_suaveolens	Carnivore
Crocidura_susiana	?
Crocidura_tanakae	?
Crocidura_tansaniana	?
Crocidura_tarella	?
Crocidura_tarfayensis	?
Crocidura_telfordi	?
Crocidura_tenuis	?
Crocidura_thalia	?
Crocidura_theresae	?
Crocidura_thomensis	?
Crocidura_trichura	?
Crocidura_turba	?
Crocidura_ultima	?
Crocidura_usambarae	?
Crocidura_viaria	?
Crocidura_virgata	?
Crocidura_voi	?
Crocidura_vorax	?
Crocidura_vosmaeri	?
Crocidura_watasei	?
Crocidura_whitakeri	?
Crocidura_wimmeri	?
